type,part,model,optparams,et_max,ep_max,a_max,acc,acc_opt,bal,bal_opt,coh,coh_opt,timestamp,acc-0,acc-opt-0,prec-0,prec-opt-0,rec-0,rec-opt-0,f1-0,f1-opt-0,sup-0,sup-opt-0,acc-1,acc-opt-1,prec-1,prec-opt-1,rec-1,rec-opt-1,f1-1,f1-opt-1,sup-1,sup-opt-1,acc-2,acc-opt-2,prec-2,prec-opt-2,rec-2,rec-opt-2,f1-2,f1-opt-2,sup-2,sup-opt-2,acc-3,acc-opt-3,prec-3,prec-opt-3,rec-3,rec-opt-3,f1-3,f1-opt-3,sup-3,sup-opt-3,acc-4,acc-opt-4,prec-4,prec-opt-4,rec-4,rec-opt-4,f1-4,f1-opt-4,sup-4,sup-opt-4,subject,record
hmm,0,usleep,0,0,0,0,0.8434886499402628,0.8399044205495818,0.8091495706692108,0.7788611694152923,0.7976391511131535,0.7914600474131921,2022-10-05 10:23:41,0.7934782608695652,0.7934782608695653,0.9864864864864865,0.9864864864864865,0.7934782608695652,0.7934782608695652,0.8795180722891566,0.8795180722891566,184,184,0.5517241379310345,0.3448275862068966,0.42105263157894735,0.37037037037037035,0.5517241379310345,0.3448275862068966,0.47761194029850745,0.35714285714285715,58,58,0.836,0.856,0.8893617021276595,0.856,0.836,0.856,0.8618556701030927,0.856,250,250,0.9045454545454545,0.9,0.8963963963963963,0.8646288209606987,0.9045454545454545,0.9,0.9004524886877828,0.8819599109131403,220,220,0.96,1.0,0.7692307692307693,0.8012820512820513,0.96,1.0,0.8540925266903916,0.8896797153024911,125,125,0,1
hmm,0,usleep,0,0,0,0,0.8467741935483871,0.8682795698924731,0.7379582968947135,0.7480151287061562,0.7970032783955647,0.824018570883018,2022-10-05 10:23:41,0.75,0.7558139534883721,0.9923076923076923,1.0,0.75,0.7558139534883721,0.8543046357615894,0.8609271523178808,172,172,0.2033898305084746,0.15254237288135594,0.18461538461538463,0.2727272727272727,0.2033898305084746,0.15254237288135594,0.19354838709677422,0.1956521739130435,59,59,0.8739946380697051,0.9088471849865952,0.9055555555555556,0.8828125,0.8739946380697051,0.9088471849865952,0.8894952251023193,0.8956406869220608,373,373,0.9461279461279462,0.9461279461279462,0.9493243243243243,0.9859649122807017,0.9461279461279462,0.9461279461279462,0.9477234401349072,0.9656357388316151,297,297,0.9162790697674419,0.9767441860465116,0.7433962264150943,0.7394366197183099,0.9162790697674419,0.9767441860465116,0.8208333333333333,0.8416833667334669,215,215,0,2
hmm,0,usleep,0,0,0,0,0.8196286472148541,0.8328912466843501,0.8362043127184888,0.8127626541227052,0.7429863285623102,0.7538716801422245,2022-10-05 10:23:41,0.8791946308724833,0.912751677852349,0.9924242424242424,0.9927007299270073,0.8791946308724832,0.912751677852349,0.9323843416370107,0.951048951048951,149,149,0.7894736842105263,0.6842105263157895,0.189873417721519,0.35135135135135137,0.7894736842105263,0.6842105263157895,0.30612244897959184,0.4642857142857143,19,19,0.7718360071301248,0.8270944741532977,0.9002079002079002,0.8608534322820037,0.7718360071301248,0.8270944741532977,0.8310940499040306,0.8436363636363636,561,561,0.9,0.8294117647058824,0.8315217391304348,0.8924050632911392,0.9,0.8294117647058824,0.864406779661017,0.8597560975609756,170,170,0.8405172413793104,0.8103448275862069,0.7647058823529411,0.7230769230769231,0.8405172413793104,0.8103448275862069,0.8008213552361395,0.7642276422764227,232,232,9,1
hmm,0,usleep,0,0,0,0,0.8315217391304348,0.8568840579710145,0.8127558692174672,0.8101574447083333,0.7652170333816595,0.7959675900636665,2022-10-05 10:23:41,0.8920863309352518,0.9496402877697843,0.9393939393939394,0.9496402877697842,0.8920863309352518,0.9496402877697842,0.915129151291513,0.9496402877697842,139,139,0.4691358024691358,0.34567901234567905,0.48717948717948717,0.6363636363636364,0.4691358024691358,0.345679012345679,0.4779874213836478,0.448,81,81,0.794921875,0.84765625,0.9553990610328639,0.9136842105263158,0.794921875,0.84765625,0.8678038379530917,0.8794326241134751,512,512,0.9906542056074766,0.9719626168224299,0.7412587412587412,0.8062015503875969,0.9906542056074766,0.9719626168224299,0.848,0.8813559322033898,107,107,0.9169811320754717,0.9358490566037736,0.7476923076923077,0.7823343848580442,0.9169811320754717,0.9358490566037736,0.823728813559322,0.8522336769759451,265,265,9,2
hmm,0,usleep,0,0,0,0,0.6901260504201681,0.6323529411764706,0.5465461673332971,0.5114786176861794,0.5779564761980617,0.5038454952238429,2022-10-05 10:23:41,0.2777777777777778,0.4761904761904762,1.0,0.3821656050955414,0.2777777777777778,0.47619047619047616,0.4347826086956522,0.4240282685512367,126,126,0.09523809523809523,0.047619047619047616,0.04081632653061224,0.04,0.09523809523809523,0.047619047619047616,0.05714285714285714,0.043478260869565216,21,21,0.6890243902439024,0.7469512195121951,0.6686390532544378,0.6347150259067358,0.6890243902439024,0.7469512195121951,0.6786786786786786,0.6862745098039215,328,328,0.9302325581395349,0.8744186046511628,0.6578947368421053,0.6911764705882353,0.9302325581395349,0.8744186046511628,0.7707129094412332,0.7720739219712526,215,215,0.7404580152671756,0.4122137404580153,0.8584070796460177,0.9642857142857143,0.7404580152671756,0.4122137404580153,0.7950819672131147,0.5775401069518716,262,262,17,1
hmm,0,usleep,0,0,0,0,0.722755505364201,0.42913608130999437,0.7415631554793498,0.30513952119917,0.6300769913394315,0.111713010553388,2022-10-05 10:23:41,0.6812227074235808,0.8573508005822417,0.9957446808510638,0.40314852840520193,0.6812227074235808,0.8573508005822417,0.8089887640449438,0.548417132216015,687,687,0.5,0.25,0.13496932515337423,0.14102564102564102,0.5,0.25,0.21256038647342995,0.18032786885245902,44,44,0.6754002911208151,0.16302765647743814,0.9243027888446215,0.7887323943661971,0.6754002911208151,0.16302765647743814,0.7804878048780487,0.270205066344994,687,687,0.8936170212765957,0.2553191489361702,0.6536964980544747,0.8888888888888888,0.8936170212765957,0.2553191489361702,0.7550561797752808,0.39669421487603307,188,188,0.9575757575757575,0.0,0.41688654353562005,0.0,0.9575757575757575,0.0,0.5808823529411765,0.0,165,165,17,2
hmm,0,usleep,0,0,0,0,0.77431906614786,0.8122568093385214,0.7624064574913061,0.7519690480343726,0.6920597865944986,0.7352456467869157,2022-10-05 10:23:41,0.9652777777777778,0.9861111111111112,0.9205298013245033,0.7319587628865979,0.9652777777777778,0.9861111111111112,0.9423728813559322,0.8402366863905325,144,144,0.513888888888889,0.25,0.24666666666666667,0.3829787234042553,0.5138888888888888,0.25,0.33333333333333326,0.3025210084033613,72,72,0.7410526315789474,0.8105263157894737,0.8481927710843373,0.8244111349036403,0.7410526315789474,0.8105263157894737,0.7910112359550563,0.8174097664543525,475,475,0.8159509202453987,0.7361963190184049,0.8807947019867549,0.9230769230769231,0.8159509202453987,0.7361963190184049,0.8471337579617834,0.8191126279863482,163,163,0.7758620689655172,0.9770114942528736,0.8385093167701864,0.8947368421052632,0.7758620689655172,0.9770114942528736,0.8059701492537313,0.9340659340659342,174,174,27,1
hmm,0,usleep,0,0,0,0,0.710091743119266,0.7431192660550459,0.7185023518351381,0.7143888766532814,0.6343334207405693,0.66984346772536,2022-10-05 10:23:41,0.6816143497757848,0.8385650224215248,0.987012987012987,0.7164750957854407,0.6816143497757847,0.8385650224215246,0.806366047745358,0.7727272727272727,223,223,0.6206896551724138,0.3448275862068966,0.2125984251968504,0.21897810218978103,0.6206896551724138,0.3448275862068966,0.31671554252199413,0.2678571428571429,87,87,0.5989445910290238,0.6121372031662269,0.8021201413427562,0.7945205479452054,0.5989445910290238,0.6121372031662269,0.6858006042296073,0.6915052160953801,379,379,0.8033707865168539,0.7808988764044944,0.9862068965517241,0.9928571428571429,0.8033707865168539,0.7808988764044944,0.8854489164086686,0.8742138364779874,178,178,0.8878923766816144,0.9955156950672646,0.7795275590551181,0.8538461538461538,0.8878923766816144,0.9955156950672646,0.8301886792452831,0.9192546583850931,223,223,27,2
hmm,0,usleep,0,0,0,0,0.7781435154707044,0.7353522053982884,0.6983980341707867,0.6201948992301882,0.688681804138884,0.6079098903808418,2022-10-05 10:23:41,0.9090909090909091,0.9487603305785124,0.9769094138543517,0.7095179233621756,0.9090909090909091,0.9487603305785124,0.9417808219178082,0.8118811881188118,605,605,0.27450980392156865,0.12254901960784313,0.30434782608695654,0.35714285714285715,0.27450980392156865,0.12254901960784313,0.288659793814433,0.1824817518248175,204,204,0.8372641509433962,0.8325471698113208,0.7442348008385744,0.7707423580786026,0.8372641509433962,0.8325471698113207,0.788013318534961,0.800453514739229,424,424,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7727272727272727,0.576923076923077,0.7647058823529411,0.9065934065934066,0.7727272727272727,0.5769230769230769,0.768695652173913,0.7051282051282051,286,286,32,1
hmm,0,usleep,0,0,0,0,0.7757936507936508,0.7559523809523809,0.8172844727903537,0.5619539973228863,0.6816189624329159,0.6457225478121973,2022-10-05 10:23:41,0.8843537414965986,0.8979591836734694,0.8666666666666667,0.5217391304347826,0.8843537414965986,0.8979591836734694,0.8754208754208754,0.6599999999999999,147,147,0.6388888888888888,0.2916666666666667,0.44660194174757284,0.5526315789473685,0.6388888888888888,0.2916666666666667,0.5257142857142858,0.3818181818181819,144,144,0.7789473684210526,0.8442105263157895,0.9319899244332494,0.899103139013453,0.7789473684210526,0.8442105263157895,0.8486238532110091,0.8707926167209555,475,475,1.0,0.0,0.2,0.0,1.0,0.0,0.33333333333333337,0.0,1,1,0.7842323651452282,0.7759336099585062,0.756,0.8025751072961373,0.7842323651452282,0.7759336099585062,0.7698574338085539,0.7890295358649789,241,241,32,2
